doi,annee,titre,revue,citations,decision,motif,confiance,resume_present,preprint,source
10.1515/fv-2017-0024,2017.0,The Influence of Supplementation of Feed with Lactobacillus reuteri L2/6 Biocenol on Intestinal Microbiota of Conventional Mice,Folia Veterinaria,0,exclude,"FISH technique study on mouse gut probiotics, not host-hybrid microbiome or genetic ancestry question",0.97,True,False,s2
10.1099/ijsem.0.002325,2017.0,"Photobacterium toruni sp. nov., a bacterium isolated from diseased farmed fish.",International Journal of Systematic and Evolutionary Microbiology,17,exclude,"Bacterial species description from diseased farmed fish, no hybridization or host-microbiome question",0.98,True,False,s2
10.3390/ani15091338,2025.0,Effects of Short-Term Feeding with Diets Containing Insect Meal on the Gut Microbiota of African Catfish Hybrids,Animals,7,exclude,"Aquaculture feeding study on catfish gut microbiota, no hybridization/host genetics evolutionary question",0.95,True,False,s2
10.3389/fmicb.2010.00106,2010.0,Human Food Chain and Microorganisms: A Case of Co-Evolution,Front. Microbio.,11,exclude,"Food chain microbiology review, no hybridization, host genetics, or fish microbiota relevance",0.98,True,False,s2
10.1371/journal.pone.0078633,2013.0,More Than Meets the Eye: Associations of Vaginal Bacteria with Gram Stain Morphotypes Using Molecular Phylogenetic Analysis,PLoS ONE,72,exclude,"Human vaginal microbiome clinical study, unrelated to hybridization or host genetics",0.98,True,False,s2
10.14456/vol14iss11pp%p,2016.0,Microbial Community Analysis of Aquatic Gliding Bacteria (Cytophaga-Flavobacterium-Bacteroides) by Fluorescence In Situ Hybridization (FISH),,1,exclude,"FISH molecular hybridization technique for bacteria detection, not host-hybrid microbiome study",0.97,False,False,s2
10.1016/j.acthis.2011.03.008,2012.0,Simultaneous 16S and 18S rRNA fluorescence in situ hybridization (FISH) on LR White sections demonstrated in Vestimentifera (Siboglinidae) tubeworms,Acta Histochemica,12,exclude,"FISH molecular hybridization technique paper, not host-hybrid microbiome study; excluded by technical hybridization criterion",0.98,True,False,s2
10.1080/09593330.2018.1513082,2018.0,Molecular biological tools in concrete biodeterioration – a mini review,Environmental technology,6,exclude,"Concrete biodeterioration microbiology, no host, no hybridization between organisms, irrelevant to review scope",0.98,True,False,s2
10.3389/fmars.2020.587566,2020.0,"The Bacterial and Fungal Microbiota of Saccharina latissima (Laminariales, Phaeophyceae)",Frontiers in Marine Science,22,exclude,"Kelp microbiota study, no hybridization/host genetics; uses FISH not host-hybrid framework; irrelevant taxon and topic",0.97,True,False,s2
10.1016/j.fsi.2025.110529,2025.0,"Optimal Isatidis Radix extract enhances growth, immunity, modifies immune-gene action and intestinal health in hybrid snakehead (Channa maculata ♀ × Channa argus ♂) against rhabdovirus.",Fish and Shellfish Immunology,1,exclude,"Aquaculture feed-additive study on hybrid fish growth/immunity, not evolutionary host-microbiote-genetics question",0.97,True,False,s2
10.1016/j.talanta.2023.124829,2023.0,Hybridization chain reaction cascaded amplification platform for sensitive detection of pathogen.,Talanta: The International Journal of Pure and Applied Analytical Chemistry,9,exclude,"Hybridization chain reaction is molecular detection technique, not organismal hybridization or host microbiome study",0.98,True,False,s2
10.1186/s12967-025-06928-y,2025.0,Colonization by Porphyromonas gingivalis in cervical squamous cell carcinomas promotes metastasis through FimA/CD151/ITGB1 signaling,Journal of Translational Medicine,3,exclude,"Human clinical cervical cancer microbiome study; molecular FISH technique, no hybridization zone or host genetics link",0.98,True,False,s2
10.1080/19490976.2017.1334754,2017.0,"Randomized, controlled trial evaluating the effect of multi-strain probiotic on the mucosal microbiota in canine idiopathic inflammatory bowel disease",Gut microbes,124,exclude,"Canine IBD clinical probiotic trial using FISH; no hybridization zone, host genetics, or hybrid microbiota relevance",0.98,True,False,s2
10.3390/biology14111527,2025.0,"Molecular Phylogenetics of Seven Cyprinidae Distant Hybrid Lineages: Genetic Variation, 2nNCRC Convergent Evolution, and Germplasm Implications",Biology,0,exclude,"Phylogenetics of fish nuclear genome hybrids using 16S as mitochondrial marker, not host microbiome",0.96,True,False,s2
10.3390/microbiolres17020033,2026.0,Determining Selenomonas Species Subclusters in Periodontal Samples by FISH,Microbiology Research,1,exclude,"FISH molecular hybridization technique in human periodontal microbiome, not organismal hybridization or hybrid zone study",0.98,True,False,s2
10.1097/js9.0000000000002152,2024.0,Oral microbiota as a biomarker for predicting the risk of malignancy in indeterminate pulmonary nodules: a prospective multicenter study.,International Journal of Surgery,12,exclude,"Human clinical oral microbiota study for lung nodule diagnosis, no hybridization or host genetics link",0.98,True,False,s2
10.3389/fmicb.2019.02442,2019.0,Genome of a Novel Bacterium “Candidatus Jettenia ecosi” Reconstructed From the Metagenome of an Anammox Bioreactor,Frontiers in Microbiology,49,exclude,"Bioreactor anammox microbial community, no host organism or hybridization between organisms involved",0.98,True,False,s2
10.1016/j.watres.2021.116963,2021.0,Rapid formation of granules coupling n-DAMO and anammox microorganisms to remove nitrogen.,Water Research,70,exclude,"Wastewater granule microbiology, FISH technical hybridization, no host organism or hybrid zone involved",0.98,True,False,s2
10.3389/fmicb.2021.760266,2021.0,Comparative Study of Intestinal Microbiota Composition of Six Edible Fish Species,Frontiers in Microbiology,62,exclude,"Aquaculture comparative gut microbiota across species/diet, no hybridization or host genetics question",0.95,True,False,s2
10.5194/bgd-7-8779-2010,2010.0,Intriguing diversity among diazotrophic picoplankton along a Mediterranean transect: from the origin of plastids to the dominance of rhizobia,Biogeosciences Discussions,3,exclude,"Free-living marine picoplankton diazotrophs; FISH technique, no host, no hybridization between organisms",0.97,True,False,s2
10.5005/jp-journals-10005-3413,2026.0,Metagenomics as an Effective Diagnostic Approach for Exploring Oral Microbial Diversity and Dental Diseases: A Narrative Review,International Journal of Clinical Pediatric Dentistry,3,exclude,"Human oral microbiome/dental disease review, unrelated to fish hybridization or host genetics",0.98,True,False,s2
10.1038/s41598-025-34503-4,2026.0,Similarity of activated sludge and treated wastewater with special reference to nitrifiers and their seasonal variability,Scientific Reports,0,exclude,"Activated sludge/wastewater microbiome study, no host organism, no hybridization between organisms",0.98,True,False,s2
10.1186/1471-2156-15-32,2014.0,"Pacific and Atlantic Lepeophtheirus salmonis (Krøyer, 1838) are allopatric subspecies: Lepeophtheirus salmonis salmonis and L. salmonis oncorhynchi subspecies novo",BMC Genetics,81,exclude,"COI/16S used for host phylogenetics/taxonomy, not host-associated microbiome study of hybrids",0.95,True,False,s2
10.1684/ejd.2020.3948,2021.0,Identification of anti-microbial peptides and traces of microbial DNA in infrainfundibular compartments of human scalp terminal hair follicles,EJD. European journal of dermatology,16,exclude,"Human scalp hair follicle microbiome study, clinical/dermatological, unrelated to hybridization or host genetics",0.97,True,False,s2
10.1016/j.aninu.2015.08.006,2015.0,"Effects of dietary yeast nucleotides on growth, non-specific immunity, intestine growth and intestinal microbiota of juvenile hybrid tilapia Oreochromis niloticus ♀ × Oreochromis aureus ♂",Animal Nutrition,88,exclude,"Aquaculture diet study on growth/immunity/microbiota, no natural hybrid zone or host genetics question",0.97,True,False,s2
10.1111/j.1462-2920.2010.02306.x,2011.0,Non-target sites with single nucleotide insertions or deletions are frequently found in 16S rRNA sequences and can lead to false positives in fluorescence in situ hybridization (FISH).,Environmental Microbiology,32,exclude,"FISH probe technical hybridization methodology, not organismal hybridization or host microbiome study",0.98,True,False,s2
10.1099/mic.0.26112-0,2003.0,Limitations of the widely used GAM42a and BET42a probes targeting bacteria in the Gammaproteobacteria radiation.,Microbiology,36,exclude,"FISH probe methodology paper, molecular hybridization technique not organism hybridization or host microbiome",0.98,True,False,s2
10.7287/peerj.preprints.905v1,2015.0,"Molecular investigation of the microbial community associated with the fire sponge, Tedania ignis, in Bermuda",,1,exclude,"Sponge microbiome study using FISH technique, unrelated to animal hybridization zones or host genetics",0.97,True,False,s2
10.3389/fmicb.2015.00106,2015.0,Aeromonas: a book review,Frontiers in Microbiology,2,exclude,"Book review on Aeromonas taxonomy/pathogenicity, not host microbiota, hybridization, or genetic control study",0.98,True,False,s2
10.1016/j.aqrep.2022.101130,2022.0,"Effect of dietary oxidized fish oil on growth performance, physiological homeostasis and intestinal microbiome in hybrid grouper (♀ Epi-nephelus fuscoguttatus × ♂ Epinephelus lanceolatus)",Aquaculture Reports,37,exclude,"Aquaculture applied study on hybrid grouper diet/growth, not evolutionary host-microbiote hybridization question",0.9,False,False,s2
10.3389/fmicb.2011.00156,2011.0,"The Deep Biosphere in Terrestrial Sediments in the Chesapeake Bay Area, Virginia, USA",Front. Microbio.,43,exclude,"Deep sediment geomicrobiology, no host organism, no hybridization or microbiote-hôte link",0.98,True,False,s2
10.1042/ebc20250042,2026.0,Social lives of bacteria as revealed through CLASI-FISH.,Essays in Biochemistry,0,exclude,"CLASI-FISH imaging technique paper on oral/gut/kelp microbiomes, no hybridization zone, no host genetics link",0.96,True,False,s2
10.1073/pnas.2203519119,2022.0,SRS-FISH: A high-throughput platform linking microbiome metabolism to identity at the single-cell level,Proceedings of the National Academy of Sciences of the United States of America,52,exclude,"FISH technique paper on human gut microbiome metabolism, not hybridization zones or host-microbiome genetics",0.97,True,False,s2
10.1371/journal.pone.0032696,2012.0,A Novel Betaproteobacterial Agent of Gill Epitheliocystis in Seawater Farmed Atlantic Salmon (Salmo salar),PLoS ONE,79,exclude,"Salmon gill disease agent study, no hybridization zone, no host genetics-microbiome link",0.95,True,False,s2
10.1021/es400901u,2013.0,"Effects of surface charge and hydrophobicity on anodic biofilm formation, community composition, and current generation in bioelectrochemical systems.",Environmental Science and Technology,333,exclude,"Bioelectrochemical anode biofilm study, unrelated to host-associated microbiota or hybridization",0.98,True,False,s2
10.3389/fimmu.2025.1557256,2025.0,"Effect of dietary Clostridium butyricum supplementation on growth performance, immune function, and intestinal health of hybrid grouper (Epinephelus fuscoguttatus ♀ × Epinephelus lanceolatus ♂)",Frontiers in Immunology,9,unclear,,,True,False,s2
10.1093/database/bau036,2014.0,PhylOPDb: a 16S rRNA oligonucleotide probe database for prokaryotic identification,Database J. Biol. Databases Curation,22,exclude,"Database tool for probe design/FISH, not a host-microbiome hybridization study",0.97,True,False,s2
10.1007/s10482-015-0630-0,2015.0,"Tenacibaculum finnmarkense sp. nov., a fish pathogenic bacterium of the family Flavobacteriaceae isolated from Atlantic salmon",Antonie van Leeuwenhoek,1,exclude,"Taxonomic description of a fish pathogen species, not hybridization or host microbiota comparison study",0.97,True,False,s2
10.1186/s40104-020-00441-6,2020.0,A secondary bile acid from microbiota metabolism attenuates ileitis and bile acid reduction in subclinical necrotic enteritis in chickens,Journal of Animal Science and Biotechnology,37,exclude,"Poultry aquaculture/disease study on bile acids and NE, no hybridization or host-microbiota evolutionary question",0.98,True,False,s2
10.1016/j.syapm.2022.126320,2022.0,Dissimilatory microbial sulfur and methane metabolism in the water column of a shallow meromictic lake.,Systematic and Applied Microbiology,16,exclude,"Free-living lake water column microbial community, no host organism, no hybridization context",0.98,True,False,s2
10.3390/vetsci12030216,2025.0,Effects of High-Dose Prednisone on the Gastrointestinal Microbiota of Healthy Dogs,Veterinary Sciences,1,exclude,"Étude clinique canine sur glucocorticoïdes, sans hybridation, génétique hôte ni zone d'hybridation naturelle",0.98,True,False,s2
10.1108/13663666200500047,2018.0,Companion Animals,Animal Ethics,61,exclude,"Companion animal GI microbiota review, no hybridization, no hybrid zone, no host-ancestry-microbiome link",0.98,True,False,s2
10.1016/j.xinn.2024.100759,2025.0,Phylogeny-metabolism dual-directed single-cell genomics for dissecting and mining ecosystem function by FISH-scRACS-seq,Innovation (Cambridge (Mass.)),12,exclude,"Technique de FISH/single-cell genomics sur métabolisme microbien marin, sans hybridation d'organismes ni hôte",0.98,True,False,s2
,2020.0,Application of Fluorescence in situ Hybridization for Visualization Application of Fluorescence in situ Hybridization for Visualization and Quantification of Human Gastrointestinal Microbiota and Quantification of Human Gastrointestinal Microbiota,,0,exclude,"FISH technique on human gut microbiota, molecular hybridization not host-hybrid zone study",0.95,False,False,s2
10.14202/vetworld.2023.1974-1984,2023.0,"Isolation, genetic characterization, and virulence profiling of different Aeromonas species recovered from moribund hybrid catfish (Clarias spp.)",Veterinary World,7,exclude,"Aquaculture pathogen isolation from diseased catfish, not hybridization zone or host-microbiome evolutionary question",0.97,True,False,s2
10.1099/ijsem.0.005156,2021.0,"Leucobacter soli sp. nov., from soil amended with humic acid.",International Journal of Systematic and Evolutionary Microbiology,4,exclude,"Bacterial taxonomy from soil, no host, no hybridization or microbiome comparison relevance",0.98,True,False,s2
10.1016/j.bios.2024.116950,2024.0,Fast and accurate multi-bacterial identification using cleavable and FRET-based peptide nucleic acid probes.,Biosensors & bioelectronics,5,exclude,"FISH probe technique for clinical bacterial identification, not hybridization between organisms or hybrid microbiome study",0.98,True,False,s2
10.3390/pathogens11121450,2022.0,Application of Fluorescence In Situ Hybridization (FISH) in Oral Microbial Detection,Pathogens,25,exclude,"FISH molecular hybridization technique for oral microbiome detection, not organismal hybridization or host genetics",0.98,True,False,s2
10.7717/peerj.1913,2016.0,Characterization of microbial associations with methanotrophic archaea and sulfate-reducing bacteria through statistical comparison of nested Magneto-FISH enrichments,PeerJ,37,exclude,"Sediment methane seep microbial community study, no host organism, molecular FISH hybridization not organismal hybridization",0.98,True,False,s2
10.3389/fmicb.2020.00235,2020.0,Microbial Community Drivers in Anaerobic Granulation at High Salinity,Frontiers in Microbiology,37,exclude,"Anaerobic sludge granulation microbiology, no host organism or hybridization; unrelated to fish holobiont/hybrid zone topic",0.98,True,False,s2
10.1371/journal.pone.0026458,2011.0,"Who Is in There? Exploration of Endophytic Bacteria within the Siphonous Green Seaweed Bryopsis (Bryopsidales, Chlorophyta)",PLoS ONE,95,exclude,"Endophytic bacteria in seaweed, no hybridization, no host genetics/ancestry index, unrelated topic",0.95,True,False,s2
,,Quantiﬁcation of microbial communities in subsurface marine sediments of the Black Sea and off Namibia,,0,exclude,"Sediment microbial community study, no host organism, uses FISH technically, unrelated to hybridization",0.98,True,False,s2
10.1038/s41396-021-01098-3,2021.0,Spatial separation of ribosomes and DNA in Asgard archaeal cells,The ISME Journal,28,exclude,"FISH microscopy of Asgard archaea in sediment; not host microbiota, not hybridization between organisms",0.97,True,False,s2
10.64898/2026.07.10.737703,2026.0,Single-cell analysis of pre-rRNA in Escherichia coli indicates distinct pathways of action for YbeX and YbeY proteins in ribosome biogenesis,bioRxiv,0,exclude,"E. coli rRNA processing study; molecular hybridization technique (FISH), unrelated to host-microbiome hybrid zone research",0.98,True,True,s2
10.1016/s0167-7012(97)00061-4,1997.0,Rapid detection of Enterobacteriaceae in urine by fluorescent 16S rRNA in situ hybridization on membrane filters,Journal of Microbiological Methods,27,exclude,"FISH technical hybridization for clinical urine diagnostics, not organismal hybridization or host microbiota",0.97,False,False,s2
10.1038/ismej.2012.42,2012.0,Convergent development of anodic bacterial communities in microbial fuel cells,The ISME Journal,195,exclude,"Microbial fuel cell anode communities, unrelated to host microbiota, hybridization zones, or fish tissue compartments",0.98,True,False,s2
10.3390/microorganisms14010144,2026.0,Plesiomonas shigelloides as an Emerging Pathogen in Catfish Aquaculture: A Case from a South Texas Commercial Farm,Microorganisms,0,exclude,"Aquaculture disease outbreak/pathogen study, no hybridization zone or host-microbiome evolutionary question addressed",0.97,True,False,s2
10.3390/toxins14100698,2022.0,Corynebacterium sp. 2-TD Mediated Toxicity of 2-Tridecanone to Helicoverpa armigera,Toxins,13,exclude,"Insect gut symbiont degrading plant allelochemical; no hybridization, no host genetics-microbiome association",0.97,True,False,s2
10.21037/atm-22-1670,2022.0,Clostridium butyricum inhibits the progression of colorectal cancer and alleviates intestinal inflammation via the myeloid differentiation factor 88 (MyD88)-nuclear factor-kappa B (NF-κB) signaling pathway,Annals of Translational Medicine,33,unclear,,,True,False,s2
10.1016/j.aquatox.2026.107958,2026.0,Global ecotoxicity of nanopesticides: A double-edged sword for sustainable agriculture.,Aquatic Toxicology,0,exclude,"Nanopesticide ecotoxicity review, unrelated to hybridization, host genetics, or microbiota assembly",0.98,True,False,s2
10.1017/s002966512000436x,2020.0,Impact of proanthocyanidin-rich apple intake on gut microbiota composition and polyphenol metabolomic activity in healthy mildly hypercholesterolemic subjects,Proceedings of the Nutrition Society,3,exclude,"Human clinical nutrition study on gut microbiota, unrelated to hybridization or host genetics/hybrid zones",0.98,True,False,s2
10.1038/ismej.2015.250,2016.0,Long-distance electron transfer by cable bacteria in aquifer sediments,The ISME Journal,114,exclude,"Sediment cable bacteria study, no host, no hybridization between organisms, unrelated to fish microbiote",0.98,True,False,s2
10.1007/s12275-022-2250-5,2022.0,"Description of Deefgea piscis sp. nov., and Deefgea tanakiae sp. nov., isolated from the gut of Korean indigenous fish",Journal of Microbiology,9,exclude,"Taxonomic description of novel bacterial species from fish gut, no hybridization or host-microbiome question",0.96,True,False,s2
10.1111/j.1574-6941.2009.00653.x,2009.0,Molecular Characterization and In Situ Quantification of Anoxic Arsenite Oxidizing Denitrifying Enrichment Cultures,FEMS Microbiology Ecology,54,exclude,"Environmental arsenite-oxidizing bacterial cultures, no host organism or hybridization relevance",0.98,True,False,s2
10.1080/08910600310002082,2002.0,Molecular Characterization and Spatial Analysis of a Simplified Gut Microbiota Displaying Colonization Resistance against Clostridium difficile,Microbial Ecology in Health and Disease,10,exclude,"Mouse gut FISH colonization resistance study, no hybridization zone or host genetics link, uses molecular FISH technique",0.97,True,False,s2
10.1080/19490976.2025.2600053,2025.0,A defined bacterial consortium and spatial transcriptomics highlight the complex interaction between Campylobacter jejuni and the murine intestine,bioRxiv,3,exclude,"Murine Campylobacter infection study, no hybridization or host genetic ancestry linked to microbiota",0.97,True,True,s2
10.1155/anu/4176337,2026.0,"Soy Protein Concentrate Dietary Substitution and Bacillus coagulans Supplementation Influence the Growth Performance, Digestive Enzyme Activity, Antioxidant Capacity, Gene Expression, and Gut Microbiota of Hybrid Grouper (Epinephelus fuscoguttatus♀ × Epinephelus lanceolatus♂)",Aquaculture Nutrition,1,exclude,"Aquaculture feed/growth study on hybrid grouper, no evolutionary hybrid zone or host-genetic microbiota question",0.97,True,False,s2
10.1099/ijsem.0.005194,2022.0,"Hymenobacter piscis sp. nov., isolated from a fish pond.",International Journal of Systematic and Evolutionary Microbiology,2,exclude,"Taxonomic description of new bacterial species from pond water, no host or hybridization link",0.97,True,False,s2
10.1038/s41598-021-03973-7,2022.0,Multiple bacterial partners in symbiosis with the nudibranch mollusk Rostanga alisae,Scientific Reports,23,exclude,"Symbiosis study of single nudibranch species, no hybridization, no host genetic ancestry index",0.96,True,False,s2
10.1101/2024.03.01.582937,2024.0,Cellulose fermentation by the gut microbiota is likely not essential for the nutrition of millipedes,bioRxiv,0,exclude,"Gut microbiota of millipedes and cellulose digestion, no hybridization, host genetics, or hybrid comparison",0.97,True,True,s2
10.1046/j.1462-2920.2002.00364.x,2002.0,Fluorescence in situ hybridization of 16S rRNA gene clones (Clone-FISH) for probe validation and screening of clone libraries.,Environmental Microbiology,128,exclude,"Technical FISH molecular hybridization method paper, not organismal hybridization or host microbiome study",0.98,True,False,s2
10.1038/s41598-017-13466-1,2017.0,Anti-Infective Effect of Adhesive Probiotic Lactobacillus in Fish is Correlated With Their Spatial Distribution in the Intestinal Tissue,Scientific Reports,81,exclude,"Aquaculture probiotic study on zebrafish gut, 'hybrid' refers to distribution type, not host hybridization",0.97,True,False,s2
10.3390/jof7050354,2021.0,Microbiota Associated with Different Developmental Stages of the Dry Rot Fungus Serpula lacrymans,Journal of Fungi,11,exclude,"Fungal microbiota study, no hybridization zone, host genetics, or fish tissue comparison relevant to review",0.97,True,False,s2
10.1128/aem.68.9.4225-4232.2002,2002.0,Quantification of Uncultured Ruminococcus obeum-Like Bacteria in Human Fecal Samples by Fluorescent In Situ Hybridization and Flow Cytometry Using 16S rRNA-Targeted Probes,Applied and Environmental Microbiology,144,exclude,"FISH molecular hybridization technique on human fecal bacteria, not organismal hybridization or host genetics",0.98,True,False,s2
10.3389/fmicb.2014.00376,2014.0,Effect of sulfate on low-temperature anaerobic digestion,Frontiers in Microbiology,210,exclude,"Bioreactor microbial community study on anaerobic digestion, unrelated to host hybridization or fish microbiota",0.98,True,False,s2
10.5772/16443,2011.0,Detection of Ammonia-oxidizing Bacteria (AOB) in the Biofilm and Suspended Growth Biomass of Fully- and Partially-packed Biological Aerated Filters,,2,exclude,"Wastewater biofilm FISH study, no host organism, molecular hybridization technique not organismal hybridization",0.98,True,False,s2
10.1007/s00253-017-8416-0,2017.0,Enrichment of anaerobic nitrate-dependent methanotrophic ‘Candidatus Methanoperedens nitroreducens’ archaea from an Italian paddy field soil,Applied Microbiology and Biotechnology,130,exclude,"Paddy soil methanotroph enrichment; no host, no hybridization, unrelated to fish microbiota or holobiont genetics",0.99,True,False,s2
10.1111/j.1749-7345.2009.00272.x,2009.0,"The Effects of Dietary Yeast Culture or Short‐chain Fructo‐oligosaccharides on the Intestinal Autochthonous Bacterial Communities in Juvenile Hybrid Tilapia, Oreochromis niloticus♀×Oreochromis aureus♂",Journal of The World Aquaculture Society,62,exclude,"Aquaculture prebiotic feeding study on hybrid tilapia gut bacteria, no evolutionary hybridization/host-genetics question",0.95,True,False,s2
10.1007/s11274-011-0871-7,2012.0,Do dietary betaine and the antibiotic florfenicol influence the intestinal autochthonous bacterial community in hybrid tilapia (Oreochromis niloticus ♀ × O. aureus ♂)?,World Journal of Microbiology & Biotechnology,36,exclude,"Aquaculture feed additive study on hybrid tilapia gut bacteria, not hybridization zone or host genetics",0.95,True,False,s2
10.1007/s00248-009-9597-6,2009.0,"In Vitro and In Vivo Evaluation of the Prebiotics GroBiotic®-A, Inulin, Mannanoligosaccharide, and Galactooligosaccharide on the Digestive Microbiota and Performance of Hybrid Striped Bass (Morone chrysops × Morone saxatilis)",Microbial Ecology,85,exclude,"Aquaculture prebiotic feeding trial on hybrid striped bass, no evolutionary or hybridization-genetics question",0.95,True,False,s2
10.3103/s0096392515040057,2015.0,Detection of anaerobic sulfate-reducing bacteria in oxygen-containing upper water layers of the Black and Baltic Seas,Moscow University Biological Sciences Bulletin,3,exclude,"FISH molecular hybridization technique in free water bacterioplankton, not host-associated organismal hybridization",0.98,True,False,s2
10.20411/pai.v4i1.270,2019.0,The Microbiome of Temporal Arteries,Pathogens and Immunity,24,exclude,"Human clinical microbiome study of arteritis, unrelated to hybridization or host genetics",0.98,True,False,s2
10.1007/s00203-010-0627-z,2010.0,Effects of the antibiotic growth promoters flavomycin and florfenicol on the autochthonous intestinal microbiota of hybrid tilapia (Oreochromis niloticus ♀ × O. aureus ♂),Archives of Microbiology,54,exclude,"Aquaculture antibiotic growth promoter study on hybrid tilapia gut microbiota, no evolutionary/host-genetic question",0.95,True,False,s2
10.3389/fvets.2021.623666,2021.0,Bovine Abortions Revisited—Enhancing Abortion Diagnostics by 16S rDNA Amplicon Sequencing and Fluorescence in situ Hybridization,Frontiers in Veterinary Science,11,exclude,"Veterinary FISH/16S diagnostics for bovine abortion, unrelated to hybridization or host-microbiome evolution",0.98,True,False,s2
10.1186/s12967-026-08222-x,2026.0,Lactobacillus-derived indole-3-lactic acid suppresses meningioma malignant phenotypes by direct anti-proliferative effects and macrophage reprogramming,Journal of Translational Medicine,1,exclude,"Human tumor microbiome study, no hybridization, no host genetics, clinical cancer focus",0.98,True,False,s2
10.4014/jmb.1805.04057,2018.0,"Design, Optimization and Verification of 16S rRNA Oligonucleotide Probes of Fluorescence in-situ Hybridization for Targeting Clostridium spp. and Clostridium kluyveri.",Journal of Microbiology and Biotechnology,8,exclude,"FISH molecular hybridization technique for Clostridium detection, not organismal hybridization or host microbiote",0.98,True,False,s2
10.1155/2022/2964779,2022.0,"An Evaluation of Replacing Fish Meal with Fermented Soybean Meal in Diet of Hybrid Snakehead (Channa argus × Channa maculata): Growth, Nutrient Utilization, Serum Biochemical Indices, Intestinal Histology, and Microbial Community",Aquaculture Nutrition,29,exclude,"Aquaculture feed study on hybrid fish growth/nutrition, not evolutionary hybridization-microbiome question",0.96,True,False,s2
10.3390/ijms22020500,2021.0,Effects of Rifaximin on Luminal and Wall-Adhered Gut Commensal Microbiota in Mice,International Journal of Molecular Sciences,6,exclude,"Mouse antibiotic study, uses FISH for gut microbiota, no hybridization/host genetics relevance",0.98,True,False,s2
10.1080/01490450903456806,2010.0,Imaging Marine Bacteria with Unique 16S rRNA V6 Sequences by Fluorescence in situ Hybridization and Spectral Analysis,Geomicrobiology Journal,4,exclude,"FISH technique paper on marine bacteria, not host-hybrid microbiote; molecular hybridization not organism hybridization",0.95,False,False,s2
10.31053/1853.0605.v66.n4.23457,2009.0,Uso de la técnica de hibridación fluorescente in situ para la identificación rápida de staphylococcus aureus en hemocultivos,Revista de la Facultad de Ciencias Médicas de Córdoba,1,exclude,"FISH molecular hybridization technique for clinical S. aureus detection, not host-hybrid microbiome study",0.98,True,False,s2
10.13057/biodiv/d240445,2023.0,Morpho-physiological-based selection criteria for chili (Capsicum annuum) under drought stress during vegetative to generative phase,Biodiversitas Journal of Biological Diversity,5,exclude,"Aquaculture pathogen/antibiotic resistance study in hybrid grouper, not host-microbiome or hybridization-zone genetics topic",0.97,True,False,s2
10.1016/j.fsi.2024.110078,2024.0,"Effects of chronic cold stress and thermal stress on growth performance, hepatic apoptosis, oxidative stress, immune response and gut microbiota of juvenile hybrid sturgeon (Acipenser baerii ♀ × A. schrenkii ♂).",Fish and Shellfish Immunology,39,exclude,"Aquaculture thermal stress study on hybrid sturgeon; no natural hybrid zone, no host-genetic microbiota assembly question",0.95,True,False,s2
10.5194/biofilms9-116,2020.0,Seeing is believing: Can biofilm diagnostics guide individualized therapy in endocarditis?,,0,exclude,"Clinical FISH/16S diagnostics for endocarditis biofilms, unrelated to hybridization or host-microbiome evolution",0.98,True,False,s2
10.5539/jas.v7n11p254,2015.0,Investigation of Bacteria and Fish Pathogenic Bacteria Found in Freshwater Aquaponic System,The Journal of Agricultural Science,10,exclude,"Aquaponic water bacteria/aquaculture pathogen study, no host hybridization or genetic microbiote question",0.97,True,False,s2
10.1186/s40168-020-00948-0,2021.0,Corroborating evidence refutes batch effect as explanation for fetal bacteria,Microbiome,17,exclude,"Human fetal microbiome batch effect controversy, unrelated to hybridization, host genetics, or fish tissue microbiota",0.98,True,False,s2
10.1128/aem.03044-19,2020.0,Bacteria from the Genus Arcobacter Are Abundant in Effluent from Wastewater Treatment Plants,Applied and Environmental Microbiology,59,exclude,"Wastewater bacterioplankton study, no host, no hybridization; unrelated to fish microbiote hybrid zones",0.98,True,False,s2
10.1111/jfd.70213,2026.0,Outbreaks of Granulomatous Disease Associated With Vibrio harveyi Infection in Grouper (Epinephelus fuscoguttatus × E. lanceolatus) Aquaculture in Taiwan.,Journal of Fish Diseases,0,exclude,"Aquaculture disease outbreak study, in situ hybridization technique, not host-microbiome hybridization research",0.97,True,False,s2
10.2166/wpt.2022.021,2022.0,Enrichment and characterization of Anammox bacteria in a non-woven membrane reactor,Water practice and technology,6,exclude,"Anammox wastewater reactor, FISH molecular hybridization, no host microbiote or hybrid organisms",0.98,True,False,s2
10.1038/ismej.2012.108,2012.0,Diversity and population structure of Marine Group A bacteria in the Northeast subarctic Pacific Ocean,The ISME Journal,74,exclude,"Free-living marine bacterioplankton study, no host organism or hybridization involved",0.98,True,False,s2
10.1128/aem.67.10.4850-4857.2001,2001.0,"Detection and Enumeration of Methanotrophs in Acidic Sphagnum Peat by 16S rRNA Fluorescence In Situ Hybridization, Including the Use of Newly Developed Oligonucleotide Probes for Methylocella palustris",Applied and Environmental Microbiology,156,exclude,"FISH probe technique for peat methanotrophs; molecular hybridization method, no host-associated hybrid microbiome relevance",0.98,True,False,s2
10.1385/1-59259-238-4:029,2002.0,Design and evaluation of 16S rRNA-targeted oligonucleotide probes for fluorescence in situ hybridization.,Methods in molecular biology,201,exclude,"FISH probe design, technical molecular hybridization method, not host-microbiome or hybrid zone research",0.95,False,False,s2
